Tweets,"Is_Conspiracy (0=No, 1=Yes)"
"Conflicting reports. Some say he has passed away, some not. #Coronavirus #CoronavirusOutbreak 
https://t.co/xJvNqpdr81",0
"Coronavirus: Reports of Brighton patient having virus

#coronavirus #coronavirusuk

https://t.co/6cpxTOoUAv",0
"People are worried about the #CoronaVirus and rightfully so, but the virus Americans really need to worry about is #influenza aka the #flu which has alrealy killed at least 10,000 nationwide this season.  https://t.co/2Ua6QGI6b6",0
"Complete breakdown of these meds is here:

https://t.co/LH5GWHN0iq

Thanks to our special helpers overseas for translation assistance.

#2019nCoV #Coronavirus #coronavirusupdate https://t.co/t12Wn9DPka",0
May his soul rest in eternal peace https://t.co/EmbNpl07NM,0
#BreakingNews There are indications that the newest hotspot for the #coronavirus outbreak will be India. Many have seen this as a worse case scenario in escalation as it is feared there is little to stop the spread in India and the travel between India and the US is massive https://t.co/lg03xAmHhk,0
"Bruh I asked some British man if I was gonna make it to the airport for my flight cus I'm running late and he said I was good and had the audacity to add ""as long as you don't cough or sneeze you'll make it"" FUCK this GUY 😂😭 #Coronavirus",0
Great idea @OUH_IPC https://t.co/PywLPxelzK,0
"💖8 Days To Vals Surprise That Special Someone Now💖

You can reach Us On 0205414305or WhatsApp 0555171905 
For The Best &amp; Coolest Deals Ever💓

#coronavirus  Shatta Wale #NanaAddoGalamsey #twitterbars Bleeding Sarkodie Zidane Legon Highest #Borjor Asabone #TopSpeed #AllOut https://t.co/JkLoCcfeAK",0
Why on earth would someone be reprimanded by police for warning about a virus? https://t.co/2Nh3qTr72d,0
If there was an doubt about the 自相矛盾nature  of Chinese beauracracy https://t.co/L4g6nkA3hn,1
"UPDATE:
I hope this is true and the doctor is able to pull through. #coronavirus  https://t.co/m66q0oTAom",0
"Li Wenliang, doctor who alerted public to #coronavirus, dies at 34

https://t.co/PUSIV16Y51",0
Helpful (preliminary) graphics. #2019n_CoV https://t.co/6IYZoP8Qw1,0
"#CoronaVirus What the last column does is apply the current death rate (2.0%) to all ""Active Cases"" to predict additional deaths out of that group. It then combines that estimate with known deaths. The predicted total will fluctuate from one update to the next. Very fluid. https://t.co/y41ETquc7x",0
"The whistleblowing #Chinese doctor who tried to raise the alarm about the #coronavirus #outbreak died in the early hours of Friday, a Communist party-controlled newspaper has now confirmed #breakingnews https://t.co/Z2Mjds689N",0
"#China, #Wuhan:
#coronavirus hospital, isolation ""box compartment"".
Video says:
There is no medication, no injection, no toilet, heavy rain outside, you need to walk 200 meters to go to the toilet, this method of isolation is not good, cross infection will occur. https://t.co/gxnet6WkdK",1
Some positive news out of #China which has been lost behind #Coronavirus news https://t.co/2NTrnZ64gI,0
Is Coronavirus Spread By People Without Symptoms? : Shots - Health News SURVIVE SEE DETAILS AT ==&gt; https://t.co/7rxEenP6tA #virus #coronavirus #sars #flu #china #trump https://t.co/4N6HdqdNbe,0
Coronavirus updates: The latest news on the outbreak and the global response SEE DETAILS AT ==&gt; https://t.co/n8oWlcKo0x #virus #coronavirus #sars #flu #china #trump https://t.co/7at54HyGCd,0
"Stunning info if true(?) Law prof Francis Boyle (wrote US bioweapons agrmts) excoriates CCP, WHO, CDC &amp; Bill Gates re #corona. Claims blackballed by media, perhaps on orders of US gov’t. Need to research his credibility. On pro side of ledger, he thinks highly of .@Laurie_Garrett https://t.co/vi9rSLx4lP",0
#Coronavirus memes fill #socialmedia feeds. Here's what #epidemiologist Brandon Brown of @UCRiverside has to say. #Story by @skarlamangla of @latimes: https://t.co/GPJLg0D5Tj @CHC_UCR @UCRSoM #coronavirusmemes #CoronavirusOutbreak,0
"Coronavirus outbreak
 -Cases: 28,379 🔺
 -Deaths: 566 
 -Recovered: 1,431 🔺   

#coronavirus #coronaviruschina #CoronaVirusFacts #CoronavirusOutbreak",0
@SCMPNews Latest #WHO death tolls data: https://t.co/O4mg0yGUW6 #corona #coronavirusupdate #coronavirus,0
Surely infections will spread here ? Concentration camps come to mind ! My heart cries for China. What are the Chinese Government doing? The World needs to investigate what is happening to the Chinese people in Wuhan ? https://t.co/WHT6pqspos,0
"Coronavirus news – live: Third UK patient ‘contracted virus outside mainland China’ amid row over PM’s father meeting Chinese officials

#coronavirus #coronavirusuk

https://t.co/SJ5tbjIdjD",0
This broke my heart.. https://t.co/IVOBvt9F1s,0
Coronavirus updates: The latest news on the outbreak and the global response SURVIVE SEE DETAILS AT ==&gt; https://t.co/QvEZfTKWkq #virus #coronavirus #sars #flu #china #trump https://t.co/5u2ok3uZ2Y,0
"Pretty much dying of a cold, a customer on the line noticed that I was sniffling. Asked me if I have the #Coronavirus. I was really tempted to say yes, then I thought ""I could get the company quarantined if they report it and if it cause hassle for the company, I could get fired""",0
"Who is ready for a #Coronavirus Info dump?

Incoming! https://t.co/yWkZiPe8Bj",0
Woodpecker Ultrasurgery Application(3) Curettage of Right Mandible Bone Cyst | #Health | #coronavirus | #AsianNetWalking https://t.co/dlVnWcqxDI https://t.co/4dbEkRs5ud,0
"@PDChinese Huoshenshan Hospital can now be used by infected patients of Novel #Coronavirus in Hunan, China
#武汉加油 
#Minecraft我的世界
Check out more on my tweets https://t.co/fsUhcwWTxg",0
We're pretty sure you've read a lot about the #coronavirus in the news already. But did you know that it also affects human rights?  @RehamKhan1 https://t.co/FkPbbdZKAf,0
Is Coronavirus Spread By People Without Symptoms? : Shots - Health News SEE DETAILS AT ==&gt; https://t.co/n8oWlcKo0x #virus #coronavirus #sars #flu #china #trump https://t.co/W4Lkk0mAgX,0
"#Auckland woman Selina Huang was one of those who had registered to come back to #NewZealand and decided not to go eventually because her 6 yo kid refused to wear mask &amp; gloves #coronavirus #parenting
https://t.co/iumgtmpQ8Y",0
#coronavirus from #space https://t.co/GUjwK70pd4,0
Coronavirus updates: The latest news on the outbreak and the global response SEE DETAILS AT ==&gt; https://t.co/9orX4j6BuU #virus #coronavirus #sars #flu #deathtoll #china #trump https://t.co/2PirJEicpg,0
Little did we realise that the 3rd world war was going to be a biological war. Man vs Virus. #WWIIl #Coronavirus #salonetwitter,0
"So many #coronavirus experts on twitter right now. Makes you wonder why anyone needs a degree nowadays. 

If you want factual information refer to the @WHO or @ECDC_EU or @CDCgov",0
who wrote this tweet because the league table story is so out of place here? https://t.co/E9d0TuyOAe,0
"#Oil prices jump 2% as #coronavirus #vaccine reports ""spur hope"". @Reuters https://t.co/pBK3xpbEhT",0
British man who lives in Wuhan claims he defeated coronavirus with help of alcohol and honey.... #China #British #Wuhan #Coronavirus #CoronavirusChina  #CoronavirusOutbreak  #WuhanCoronavirus https://t.co/u9Id2QKdpr,1
"Looks like an ideal novel Corona virus 'incubation vehicle' to me...
Were they tested for novel Corona virus before admission??
https://t.co/KfIUQJRiMi https://t.co/xaMwk9Flcn",0
"Government-chartered plane to Canada leaves Wuhan #coronavirus 
https://t.co/tSirt27URa",0
