text,FCFR
"If we can get through this, I imagine, the world will be completely different. #coronavirus #DrLiWenliang… https://t.co/eFEkqA7zZ9",Relieving
next stop - The Morgue,Causing
"In addition to hospitals, Wuhan’s local communities are also frontlines against the novel #coronavirus epidemic. Th… https://t.co/tQKGm3OMBa",Relieving
"' #Coronavirus outbreak will have negative economic impact on India, even though its linkages with #China aren't as… https://t.co/UHMheOLyRC",Causing
"What we do know so far about corona virus outbreak?

Grant Hill-Cawthorne, Head of the Parliamentary Office of Scie… https://t.co/w3Zqz0cFD3",Relieving
"If virus can enter in the manufactured goods imported from China, a grave situation may have to be wintnessed all o… https://t.co/5PaAKTFP66",Causing
Went to my local supermarket this morning to be greeted by long lines at check out and multiple empty shelves. Fair… https://t.co/N4wVY9oTDm,Causing
Best of all the Gates have funded the company which owns the patent on the DNA of the #coronavirus and will be producing the #vacine,Relieving
"""As the contagion spread and flooded his ICU, the doctor observed that three weeks seemed to determine the differen… https://t.co/42WX0MFDlg",Relieving
"Two New Rapid #Coronavirus Tests Could Play Key Role in Efforts to Contain Growing #Epidemic
https://t.co/8o769y4eh2",Relieving
Medical reinforcements from top hospitals across China have been dispatched to the front lines in #Wuhan. Read abou… https://t.co/vOinzotXKh,Relieving
Listen for healing and meditation #coronavirus,Relieving
"By 12am, Feb. 9 (GMT+8), there have been 37198 confirmed and 28942 suspected cases of novel #coronavirus #pneumonia… https://t.co/USdYQeFCRJ",Causing
"They just want you dead. There’s nothing like CORONA VIRUS and it doesn’t even exist. We created it.
2020 it landed… https://t.co/AYuUzEZbWl",Causing
Global concern about #coronavirus is rising every day. Given the significant role that social media plays in our li… https://t.co/y9NGXqHT0K,Causing
#Coronavirus: #deathtoll crosses 560 as number of #confirmed #cases grows. Death toll is has now #exceeded #Sars ou… https://t.co/F9tLaz6HF4,Causing
Hundreds of millions of chickens at risk of being wiped out with much of China locked down due to #coronavirus https://t.co/iJYZMcPalU,Causing
China continues to refuse help from @CDCgov and @WHO Instead they arrest people and weld doors shut How casualties… https://t.co/SjSI0BCIbc,Causing
"Local authorities and businesses are making efforts to promote domestic consumption of agricultural products, which… https://t.co/IwRLipsH4Q",Relieving
Cambodian PM's special Beijing visit reflects profound friendship and solidarity between the two countries and peop… https://t.co/AG7XqOgPte,Relieving
''large amounts of the virus in the sewage contaminated the ventilation system and spread through air ducts was a s… https://t.co/tk1PaQilZH,Causing
Love in a time of #coronavirus,Relieving
How experts plan to treat the new #coronavirus https://t.co/uiZHDpepMN,Relieving
The goals include “telling the moving stories of how [people] on the front line are preventing and fighting the vir… https://t.co/kJm3tfZfQf,Relieving
Containment BREACHED: The nCoV #coronavirus is #out of #control; mainstream health experts warn world to #prepare f… https://t.co/IjWZC3uwpj,Causing
Be creative and stay safe from #coronavirus,Relieving
"@CoronaVUpdates This was five days ago. Infections have nearly trebled, deaths have more than doubled, countries af… https://t.co/5zguBuvrLN",Causing
Another sham picture. Don't spaz out people this wont come the usa and it is of course no big deal.,Relieving
BEWARE !! #coronavirus,Causing
"Coronavirus live updates: China more isolated as airlines cancel flights, Estee Lauder and L'Oreal take a hit… https://t.co/3m4ebRMcgb",Causing
"Based on current 500 cases, experts say the average recovery time for #coronavirus patients is about 10 days and so… https://t.co/HdeWoT4Aw7",Relieving
"""#Coronavirus: Death toll surpasses the number of fatalities from 2003 #SARS outbreak"" #ncov2019 #2019nCoV… https://t.co/qKGyJOARIk",causing
"In #coronavirus fight, A.I. emerges as a potent weapon | Fortune https://t.co/72CshwOxoT",Relieving
Apparently the hashtag #coronovavirus is intentionally mispelled to keep the topic trending; this is terrifying.,Causing
"""At the critical time of fighting #coronavirus, I express my sincere sympathy for Chinese people, and pray for the… https://t.co/7pA6iG2acw",Relieving
Important facts and myths about the new coronavirus strain.. the post is from Dr Arora who is a GP in the UK.. foll… https://t.co/aD1YUjGiOb,Relieving
"Britain and Vietnam confirm new coronavirus cases, death toll tops 500

https://t.co/IYPpG7FyGJ… https://t.co/tcyyXvCYZ5",Causing
How are robots contributing to the fight against novel #coronavirus? https://t.co/IiSVyYSQae #Healthinnovations… https://t.co/0ojmoImxwP,Relieving
"""Around 1,000 people in #SriLanka gather at a #Buddhist temple in the capital city of Colombo to pray for the… https://t.co/vFlZ9vSUin",Relieving
yesterday the Indonesian MOH trained several medical personnel to do analysis with PCR kits to better detect… https://t.co/sa4egkwW1s,relieving
Why we cannot trust the information coming out of #China about #Coronavirus. 17 years since #SARS and yet the lies… https://t.co/xVT3bceFPv,Causing
"Full-front disinfection work has started in #Wuhan, an effort to contain the spread of #coronavirus",Relieving
""" Design me a virus that kills precisely within 1/10th of 2.00% of those infected no matter when pull the data ""… https://t.co/ZTOMYwVNAT",causing
China clamp down on #coronavirus content as authorities boost propaganda https://t.co/UrZvuDb674,Causing
"Hand hygiene is most crucial when travelling. #coronavirus #coronavirusoutbreak 
https://t.co/jbPffXv9RM",Relieving
#Coronavirus a biological weapon according to this article.,Causing
Best #N95 Mask – The Ultimate Reviews And Health Tips via @10TechPro  https://t.co/mfCWWR0rmz  #n95mask… https://t.co/ygAUn2gNlz,Relieving
WHO declares global health emergency. China accuses US of spreading fear (https://t.co/cCmev1FbAy) &amp; failing to hel… https://t.co/K9mxCYvsNv,Causing
So the UK’s third case of  #coronavirus is being treated in my home town!  The hospital has been on BLACK Alert for… https://t.co/fzF3WEJ4BP,Causing
Look like fines for those who refuse to quarantine by themselves.,Relieving
Measures implemented by the #Chinese government to help control the spread of the #coronavirus will put constraints… https://t.co/matpIa79yz,Relieving
"""a sobering illustration of how far it might have spread before government officials publicly confirmed it could tr… https://t.co/9gN9StxJXI",causing
Johns Hopkins experts discuss #coronavirus outbreak and how to prevent the spread of illness https://t.co/QBKDRAtoDn,Relieving
"Little entertainment and information #coronavirus vs #zombies 
https://t.co/9RibBYprn2",Relieving
EPA Issues Emergency Guidance to Mitigate Spread of Coronavirus in the United States #coronavirus https://t.co/k7YDeDO5a7 via @shareaholic,Relieving
"""#Influenza kills an estimated 290,000 to 650,000 people worldwide per year."" Adding #coronavirus to the… https://t.co/yUKarstHgX",causing
"- New #coronavirus cases continue to drop outside Hubei, 
- China to increase access to medical supplies,
- @WHO ch… https://t.co/2Sb2WJCKHH",Relieving
